LG_ApplySetMemberTask	0x0815C0C0
LG_CreateLeagueObj	0x0815D740
LG_FreeLeagueObj	0x0815C670
LG_GetFirstLeague	0x0815B640
LG_GetLeagueCreateTime	0x0815DEF0
LG_GetLeagueInfo	0x0815C500
LG_GetLeagueObj	0x0815E020
LG_GetLeagueObjByRole	0x0815DE40
LG_GetLeagueTask	0x0815E330
LG_GetMemberCount	0x0815B5D0
LG_GetMemberInfo	0x0815C3F0
LG_GetMemberJoinTime	0x0815E4F0
LG_GetMemberObj	0x0815DAC0
LG_GetMemberTask	0x0815E120
LG_GetNextLeague	0x0815D870
LG_SetLeagueInfo	0x0815CB90
Ladder_ClearLadder	0x08159A80
Ladder_GetLadderInfo	0x08159BD0
Ladder_NewLadder	0x08159D40
LeaveChannel	0x08104420
LeaveTeam	0x08121060
LeftFillString	0x0812F460
LeftTrimString	0x081290B0
LoadMap	0x081013D0
LoadScript	0x08105020
LoginDelaySync	0x0810E1B0
Lottery_CheckPrize	0x08103220
Lottery_DrawCurrentIssue	0x081033B0
Lottery_GenerateItem	0x0810C680
Lottery_GetDesc	0x08103120
Lottery_GetLatestPrizeInfo	0x0812B930
Lottery_StartNewIssue	0x08103430
Lottery_UpdateIssue	0x081034B0
Lottery_WriteLog	0x081030A0
MSDIdx2PIdx	0x08137970
MY	0x08250AE6
MagicAttrib2Str	0x08127E60
MakeDateTime	0x081038A0
MakeEnemy	0x080FB870
Mantle	0x08118F70
Mask	0x0826A5EE
MeleeWeapon	0x0826A5D2
Message	0x08106830
MoveTongExp	0x0811ABD0
Msg2Faction	0x08120EC0
Msg2GM	0x0810F920
Msg2IP	0x081051E0
Msg2MSAll	0x08134280
Msg2MSGroup	0x08134C60
Msg2MSPlayer	0x08133810
Msg2Map	0x08105080
Msg2Player	0x081171B0
Msg2Region	0x080FB820
Msg2SubWorld	0x08105170
Msg2Team	0x081152C0
Msg2Tong	0x08120E00
N13KBufAllocator12_KHugeBufObjE	0x08251EE4
N13KBufAllocator13_KLargeBufObjE	0x08251EE4
N13KBufAllocator13_KSmallBufObjE	0x08251EE4
N8KMsgInfo13_KMsgInfoListINS_8TMsgInfoELm200EEE	0x08258E90
NPCINFO_AddBlueNpc	0x081C25F0
NPCINFO_GetLevel	0x081C0970
NPCINFO_GetName	0x081C25E0
NPCINFO_GetNpcCurrentLife	0x081C06B0
NPCINFO_GetNpcCurrentMana	0x081C0630
NPCINFO_GetNpcCurrentMaxLife	0x081C07C0
NPCINFO_GetNpcCurrentMaxMana	0x081C0730
NPCINFO_GetSeries	0x081C08E0
NPCINFO_GetTemplateId	0x081C0850
NPCINFO_SetMaxLife	0x081C1070
NPCINFO_SetMaxMana	0x081C0FE0
NPCINFO_SetNpcCurrentLife	0x081C0070
NPCINFO_SetNpcCurrentMana	0x081BFFC0
NPCINFO_SetNpcCurrentMaxLife	0x081C01C0
NPCINFO_SetNpcCurrentMaxMana	0x081C0120
NW_Abdicate	0x08128000
NW_AwardEmperor	0x08128060
NW_CheckText	0x08126DA0
NW_CloseCongratulation	0x08127FB0
NW_Dismiss	0x08126A40
NW_EmperorHistory	0x08127180
NW_EmperorHistoryCount	0x08127100
NW_Enthrone	0x08126860
NW_ForbidChat	0x08128550
NW_GetDuty	0x081173F0
NW_GetEmperorName	0x081000D0
NW_GetNationTitle	0x081000F0
NW_GetRemark	0x080FBEA0
NW_GetSealInfo	0x081016F0
NW_GetTask	0x08126D20
NW_InEmperorTong	0x08117380
NW_Instate	0x08126B50
NW_IsEmperor	0x081175D0
NW_Levy	0x08128640
NW_OpenCongratulation	0x08128100
NW_OwnSeal	0x08126C50
NW_RemarkEmperor	0x081284A0
NW_SetNationTitle	0x081281F0
NW_SetTask	0x08126CA0
NewItemEx	0x081205C0
NewWorld	0x0811B690
NextTask	0x08174D40
NoChoice	0x081170B0
NotifyArenaResult	0x08122800
NotifyWarResult	0x08122940
NpcCastSkill	0x0812B3A0
NpcChat	0x0812E5A0
NpcDialog	0x081744B0
NpcDropMoney	0x0811D9C0
NpcIdx2PIdx	0x081058B0
